DISTRICT,WARD ,VILLAGE ,LATITUDE (Y),LONGITUDE (X),YEAR,HH_SERVED,FUNCTIONAL_STATE,PUMP_TYPE,OUTLETS,SOAK_AWAY_PIT,PROTECTED,DATE OF LAST VISIT,VPM_VISITS/YEAR,BH_COMMITTEE,SEASONALITY,AQUIFER_YIELD,BH_DEPTH ,PALATABILITY,TOTAL _DISSOLVED -SOLIDS
Mutare,10,Muangirwa,-19.1698938,32.2940721,1991,20,Partially Functional,Bush Pump Type A,1,FALSE,Yes,2023/04/03,4,Functional,Perennial,17,67,FALSE,821
Mutare,10,Muangirwa,-19.192188,32.2952998,1994,25,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2023/04/24,3,Functional,Seasonal,0.261089562,23,FALSE,923
Chipinge,23,Kungai,-20.6675826,32.4465192,1989,50,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/02/06,2,Functional,Perennial,0.670470106,51,FALSE,914
Chipinge,23,Mandega 1,-20.6137019,32.46174,2014,18,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/05,6,Functional,Perennial,18,85,TRUE,26
Chipinge,23,Zamchiya,-20.2215518,32.4404238,1987,30,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/12/24,2,Functional,Perennial,0.385262564,99,TRUE,542
Chipinge,23,Tuto,-20.7483252,32.4613546,1992,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/03,3,Functional,Perennial,46,92,TRUE,284
Chipinge,23,Tuto,-20.7540008,32.4746036,1992,60,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/17,6,Functional,Perennial,5,34,TRUE,129
Chipinge,23,Chimoio,-20.7010884,32.4008027,1985,0,Non-Functional,Bush Pump Type B,1,FALSE,No,2023/03/09,3,Functional ,Perennial,0.884409771,73,TRUE,548
Makoni,3,Taimu,-17.8994633,32.3996756,1986,50,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/04,2,Functional,Perennial,18,21,TRUE,577
Chimanimani,8,Dirikwe,-19.2400317,32.4143508,1988,32,Fully Functional,Bush Pump Type B,1,TRUE,No,2022/09/17,2,Functional,Perennial,3,63,TRUE,40
Chipinge,15,Mariseta,-20.52886215,32.59347095,1988,11,Fully Functional,National Pump,1,FALSE,Yes,2022/06/04,2,Functional,Perennial,7,63,TRUE,442
Mutare,36,Maunga,-19.3151753,32.5628909,1988,44,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/03,6,Functional,Perennial,0.455913829,81,FALSE,766
Mutare,36,Dzobo,-19.2914524,32.5414466,1997,35,Partially Functional,Bush Pump Type B,12,FALSE,Yes,2023/03/28,6,Functional,Perennial,0.452291937,56,FALSE,934
Mutare,36,Mbiza,-19.3120348,32.5281195,1982,50,Fully Functional,Bush Pump Type B,1,FALSE,No,2022/02/05,1,Non-Functional,Seasonal,0.303200321,81,FALSE,802
Mutare,36,Jarawani,-19.3063267,32.4719637,1983,30,Partially Functional,Rope and Bucket,1,FALSE,Yes,2022/11/05,1,Non-Functional,Seasonal,0.862382325,111,FALSE,600
Mutare,36,Jarawani,-19.3031637,32.4785834,2001,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/09,3,Functional,Perennial,0.26509371,36,FALSE,604
Mutare,36,Jarawani,-19.2463002,32.423351,1990,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/11,5,Functional,Seasonal,0.757513074,90,FALSE,984
Mutare,36,Derembwe,-19.3128259,32.5075127,2014,36,Fully Functional,Bush Pump Type B,12,FALSE,Yes,2023/03/08,4,Functional,Perennial,0.568086812,111,TRUE,540
Nyanga,2,Chibvembe,-17.317151,32.712624,1992,25,Fully Functional,Submersible Pump,6,FALSE,Yes,2023/05/07,6,Functional,Perennial,41,73,TRUE,263
Buhera,10,Chifamba,-19.1556748,31.7451388,1992,0,Non-Functional,National Pump,1,FALSE,Yes,2022/07/22,2,Non-existent,Seasonal,0.376811811,98,TRUE,269
Mutare,36,Rafemoyo,-19.3038607,32.5658939,1986,59,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/27,3,Functional,Perennial,0.702594107,22,FALSE,879
Chipinge,22,Mukuyu B,-20.6756299,32.3400709,1986,41,Fully Functional,Submersible Pump,6,FALSE,Yes,2023/04/19,4,Functional,Perennial,13,83,TRUE,572
Nyanga,2,Kadyamusuma,-17.4961696,32.7772433,1990,60,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/10,1,Functional ,Seasonal,36,30,TRUE,14
Nyanga,2,Kadyamusuma,-17.4913299,32.784497,2001,42,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/24,4,Functional,Seasonal,0.385310198,58,TRUE,499
Nyanga,2,Chifambe,-17.4453423,32.2513131,2013,33,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/12,3,Functional,Seasonal,2,20,TRUE,572
Nyanga,2,Chifambe,-17.507123,32.7613952,1972,16,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/08,1,Functional ,Seasonal,0.419647652,92,TRUE,175
Nyanga,2,Chikata,-17.52851,32.7727296,1992,41,Partially Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/06,3,Functional,Seasonal,3,111,TRUE,171
Nyanga,2,Chifambe,-17.4975083,32.7667934,2015,50,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/22,2,Non-existent,Seasonal,0.181221621,84,TRUE,74
Nyanga,2,Chitambara,-17.4516726,32.7636717,1953,20,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/02/08,1,Non-functional ,Seasonal,0.995137886,51,TRUE,15
Nyanga,2,Gohoto,-17.47227,32.769133,2020,28,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/05/18,6,Functional,Perennial,33,31,TRUE,274
Nyanga,2,Jimu,-17.4257871,32.8285721,1970,40,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/20,2,Functional,Seasonal,0.779162645,99,TRUE,503
Nyanga,2,Jani,-17.4897443,32.7070737,1990,34,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/21,3,Non-existent,Seasonal,0.582518265,27,FALSE,883
Nyanga,2,Kadyamusuma,-17.4852101,32.7818023,2015,20,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/09/21,1,Non-functional ,Seasonal,0.254010827,58,FALSE,626
Nyanga,2,Chitambara,-17.4620252,32.7501583,2005,54,Fully Functional,Bush Pump Type B,12,TRUE,Yes,2023/04/12,5,Functional,Perennial,18,89,TRUE,82
Nyanga,2,Taibo,-17.4403359,32.7795577,1990,25,Non-Functional,Elephant Pump,1,FALSE,No,2023/01/25,3,Non-existent,Seasonal,0.565960725,31,FALSE,748
Nyanga,2,Chibvembe,-17.37979,32.8191794,2016,42,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/28,2,Functional,Seasonal,0.858053861,45,TRUE,388
Nyanga,2,Gohoto,-17.4764182,32.7703329,2005,20,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/04/13,5,Functional,Perennial,27,81,TRUE,138
Mutasa,13,Banhu,-18.5118201,32.4827287,1982,14,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/06,6,Functional,Perennial,48,108,FALSE,680
Mutasa,13,Mashingauta,-18.4442492,32.4599439,2005,29,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/31,6,Functional,Perennial,44,27,FALSE,793
Mutasa,13,Gumi,-18.4932317,32.4952562,1982,18,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/12,6,Functional,Seasonal,0.927183305,63,TRUE,494
Mutasa,13,Chitsanza,-18.4261939,32.4534173,2013,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/12,3,Functional,Perennial,33,102,FALSE,885
Mutasa,13,Kanganya,-18.4809666,32.5098771,1993,16,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/11,4,Functional,Perennial,46,60,FALSE,831
Mutasa,13,Kanganya,-18.4848402,32.5136033,1986,8,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/05/10,5,Functional,Perennial,44,70,FALSE,718
Mutasa,13,Gwata,-18.4912424,32.4879114,1981,23,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/05,6,Functional,Perennial,30,95,TRUE,200
Mutasa,13,Manjoro,-18.4178763,32.4698121,1987,12,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/31,1,Non-Functional,Perennial,6,106,FALSE,953
Mutasa,13,Gwata,-18.4760939,32.4972554,1998,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/10,4,Functional,Perennial,12,37,TRUE,538
Mutasa,13,Nyagwambo,-18.5191244,32.4709886,1998,14,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/24,6,Functional,Perennial,50,59,TRUE,340
Mutasa,13,Mangere,-18.4777707,32.4396063,1986,32,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/06,6,Functional,Perennial,37,85,TRUE,485
Mutasa,13,Mupatsi,-18.5402435,32.4980199,1988,31,Non-Functional,Bush Pump Type B,1,FALSE,Yes,2022/05/10,2,Functional ,Perennial,9,75,TRUE,497
Mutasa,13,Medzani,-18.5043458,32.4485254,1986,15,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/01/02,6,Functional,Perennial,16,101,TRUE,304
Mutasa,13,Dera,-18.4435464,32.485839,2013,26,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/10,4,Functional,Perennial,16,91,FALSE,906
Mutasa,13,Dzvairo,-18.4444023,32.4442999,1997,40,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/30,6,Functional,Perennial,23,65,TRUE,265
Mutasa,13,Dera,-18.4377163,32.4718441,1993,34,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/30,4,Functional,Perennial,0.802728148,105,TRUE,581
Mutasa,13,Mashingauta,-18.4389256,32.4663056,1992,12,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/08/12,2,Functional,Perennial,26,58,FALSE,640
Mutasa,13,Chitsanza,-18.3952779,32.4828186,1998,40,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/05/22,4,Functional,Perennial,45,36,TRUE,186
Mutasa,13,Nyatsvimbo,-18.5306605,32.5002984,1993,11,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/10/20,2,Functional,Perennial,10,29,FALSE,731
Mutasa,13,Makora,-18.4595906,32.4815904,1993,17,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/05/07,2,Functional,Perennial,16,31,TRUE,234
Mutasa,13,Mangere,-18.4682199,32.4543562,1997,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/04/24,3,Functional,Seasonal,0.061455959,100,TRUE,598
Mutasa,13,Dera,-18.443569,32.5009268,1993,27,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/08/24,2,Functional,Perennial,42,107,FALSE,609
Mutasa,13,Mutetwa A,-18.4959955,32.4793229,1996,12,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/07/22,2,Functional,Perennial,20,89,FALSE,634
Mutasa,13,Gumi,-18.5004636,32.5001305,1992,18,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/25,3,Non-Functional,Perennial,27,82,FALSE,857
Mutasa,13,Nyamurundira,-18.5059307,32.5088666,1995,24,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2022/04/28,2,Functional,Perennial,30,42,FALSE,836
Mutasa,13,Mutetwa A,-18.503482,32.4668718,1992,18,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2022/08/27,2,Functional,Perennial,6,105,TRUE,519
Mutasa,13,Mutetwa B,-18.5026739,32.4725997,1999,26,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/02/14,4,Functional,Perennial,11,61,TRUE,46
Mutasa,13,Kanganya,-18.4698787,32.5273863,1995,22,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/03/06,4,Functional,Perennial,47,65,TRUE,84
Mutasa,13,Manjoro,-18.421605,32.4824468,1985,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/12/30,1,Non-Functional,Perennial,24,50,FALSE,892
Mutasa,13,Changunda,-18.462526,32.4957386,1993,30,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/12,6,Functional,Perennial,23,31,TRUE,294
Mutasa,13,Banhu,-18.5134669,32.4758202,1995,16,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/08/06,2,Non-Functional,Perennial,44,81,FALSE,921
Mutare,22,Gwarada B Block,-19.3345825,32.5862033,1988,58,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/01/04,3,Non-existent,Perennial,18,107,TRUE,73
Mutasa,13,Dirorimwe,-18.522904,32.4965996,1988,7,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2022/03/12,1,Non-Functional,Perennial,25,99,FALSE,798
Mutasa,13,Changunda,-18.4550117,32.4672647,1988,35,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/18,3,Non-existent,Perennial,43,39,FALSE,960
Mutare,22,Mambwere B4,-19.2683095,32.656909,1997,21,Fully Functional,Bush Pump Type B,1,TRUE,Yes,2023/04/10,3,Functional,Perennial,5,112,TRUE,434
Mutasa,13,Banhu,-18.5043121,32.4720633,1982,16,Partially Functional,Bush Pump Type B,1,FALSE,Yes,2023/02/11,3,Functional,Perennial,17,99,TRUE,213
Mutare,22,Gwizo 14A,-19.4822045,32.5203508,1983,32,Fully Functional,Bush Pump Type A,1,FALSE,Yes,2023/05/02,3,Functional,Perennial,37,61,FALSE,606
Mutare,22,Padzura 2 B,-19.2965731,32.6937544,2001,13,Fully Functional,Bush Pump Type B,1,FALSE,Yes,2023/04/07,3,Non-existent,Perennial,5,63,FALSE,660
